userID	username	utc off	profile created	favorites	followers	following	tweets	retweetID	retweet user	retweet count	text	quote	url	lat	lon	tweetID	relevant	com_vape	news_vape	policy_vape	health_vape	use_vape	pro_vape	anti_vape	procure_vape	addiction_vape	
'456764166	jewellery_bank		Fri Jan 06 16:45:17 +0000 2012	1277	52305	56974	251126			0	 20% discount ON UBLO  CBD E-Liquids ENTER UBLO20 AT CHECKOUT  _newline_ https://t.co/Ee5XOIV6H2   _newline_  # cbd # hempoil # hemp # hempdroz  # JBRT18VAPE # vapecommunity # vapefamily # vapeshop # Vape # cloudchaser # vapelife # vapeporn  # ublo # CBDlife # atsocialmedia # tweetmaster  _newline_ SELECT FREE POSTAGE https://t.co/jWMpJ30j1l 	  	http://twitter.com/jewellery_bank/status/1037612658755821568			'1037612658755821568	1	1	0	0	0	0	0	0	0	0	
'849933881528668160	VapingAve40		Thu Apr 06 10:36:43 +0000 2017	20	45	60	112285			0	 New Vaping SMOK Rolo Badge Starter Kit 250mAh https://t.co/g668mhgCeb https://t.co/W6gue9KkoR 	  	http://twitter.com/VapingAve40/status/1032695372110413824			'1032695372110413824	1	1	0	0	0	0	0	0	0	0	
'2951008171	gabriel55salaz1		Mon Dec 29 22:00:43 +0000 2014	3958	348	438	2885			0	 knew she was real when it wasn't a Juul but a jack!!!\U0001f602\U0001f602 	 if you can smoke a jack & beat my ass like this i don't want no parts \U0001f602\U0001f602\U0001f602 https://t.co/iXTUyT7fYy 	http://twitter.com/gabriel55salaz1/status/1032148741359370240			'1032148741359370240	1	0	0	0	0	0	0	1	0	0	
'1965170042	ZampleBox		Wed Oct 16 17:05:31 +0000 2013	84557	21640	268	16039			0	 Take a minute today to check out some of the new e-juice up on https://t.co/OEeQ4ObBxg! \U0001f576\ufe0f _newline_  _newline_ We're helping over 200000 people around the world get and STAY tobacco free -  and we're a family. What's better than family? _newline_  _newline_ # retweet to spread the love \U0001f49a _newline_  _newline_ # vaping # vapenation # vapeon https://t.co/uRgXkzn0qL 	  	http://twitter.com/ZampleBox/status/1031947667851472896			'1031947667851472896	1	1	0	0	0	0	0	0	0	0	
'849933881528668160	VapingAve40		Thu Apr 06 10:36:43 +0000 2017	20	45	60	100999			0	 New Vaping Vaporesso Revenger X 220W Kit with NRG Tank - 2ml/5ml https://t.co/a6cPTFRoU0 https://t.co/2C21ke125N 	  	http://twitter.com/VapingAve40/status/1030995802305396736			'1030995802305396736	1	1	0	0	0	0	0	0	0	0	
'3060851426	parado_joe		Wed Mar 04 05:18:54 +0000 2015	249	83	212	267			0	 Parang ka usok ng vape napapasaya mo ako pero saglit lang\U0001f625 	  	http://twitter.com/parado_joe/status/1037013414550228992			'1037013414550228992	0	0	0	0	0	0	0	0	0	0	
'1555740486	_AkmalHazim_		Sat Jun 29 14:13:45 +0000 2013	2663	283	329	7527			0	 @hazim_wafiy 	 Sebab apa aku prefer # NanoSTIX dari rokok dan vape? Sebab dia tak berbau macam rokok so boleh hisap kat mana-mana -  asap pun tak teruk mcm vape -  but boleh bg kepuasan nikotin mcm hisap rokok -  thats why aku # Swap2NanoSTIX https://t.co/6ADlxC9DE8 	http://twitter.com/_AkmalHazim_/status/1033243474760323072			'1033243474760323072	0	0	0	0	0	0	0	0	0	0	
'30642860	kkazantzoglou		Sun Apr 12 12:28:51 +0000 2009	52	413	1956	84592			0	 Late Night Live W/Leenacookie \u2013 Empire Vape Co https://t.co/vUdeRIn07o<br><br> https://t.co/Iyd564ToUO 	  	http://twitter.com/kkazantzoglou/status/1037113792562442245			'1037113792562442245	1	1	0	0	0	0	0	0	0	0	
'736596548935507968	jimuhammad9		Sat May 28 16:34:37 +0000 2016	3189	874	405	21920			0	 Nasty punya company semakin mantap dah. Try lah apply! 	 Job vacancy. _newline_ Office yang suasananya seperyi di pejabat Google. All Vapers -  boleh hisap vape dalam office. Please email your resume to the email add below! https://t.co/xTWE2GA96L 	http://twitter.com/jimuhammad9/status/1034414473413517312			'1034414473413517312	0	0	0	0	0	0	0	0	0	0	
'849933881528668160	VapingAve40		Thu Apr 06 10:36:43 +0000 2017	20	45	60	112448			0	 New Vaping Coil Master Building Mat https://t.co/6MDUBJ596I https://t.co/Qg7fhM8jAY 	  	http://twitter.com/VapingAve40/status/1032699857553653760			'1032699857553653760	1	1	0	0	0	0	0	0	0	0	
'244242046	steve_millam		Fri Jan 28 21:32:13 +0000 2011	71	10	43	1023			0	 @unixterminal The beauty of google is you can find whatever answer you want.. your car kicks out more pollutants than a vape - ban cars! Nah -  you wouldn't do that -  too inconvenient hey.. 	  	http://twitter.com/steve_millam/status/1035266897963433985			'1035266897963433985	1	0	0	0	1	0	1	0	0	0	
'897837129731932160	AltSmo		Wed Aug 16 15:07:07 +0000 2017	0	12	0	235			0	 MTL meets Squonk with Vandy Vape Simple EX. _newline_  _newline_ ~~<><><><>~~ _newline_ https://t.co/6KibCsVcRt _newline_ ~~<><><><>~~ _newline_ # malaysiavape # malaysiavapor # vmog # malaysiavapecommunity # klvape # klvapers # vapemy https://t.co/GCal7DtbvT 	  	http://twitter.com/AltSmo/status/1036945759441014784			'1036945759441014784	1	1	0	0	0	0	0	0	0	0	
'849933881528668160	VapingAve40		Thu Apr 06 10:36:43 +0000 2017	20	45	59	171644			0	 New Vaping VOOPOO MOJO 88W TC Starter Kit with UFORCE \u2013 2600mAh https://t.co/q2Ym2FQ6fD https://t.co/lUrC9X3NEm 	  	http://twitter.com/VapingAve40/status/1040282572855496704			'1040282572855496704	1	1	0	0	0	0	0	0	0	0	
'3003612909	veter2601		Wed Jan 28 18:27:43 +0000 2015	14618	3661	4711	20258			0	 eLYQD is a platform designed to allow vaping industry manufacturers to create an online store that will make good use of the most advanced technologies in the e-commerce field # eLYQD # eLYQDico # decentralized # ico # blockchain # ethereum 	  	http://twitter.com/veter2601/status/1032334654592958466			'1032334654592958466	1	0	1	0	0	0	0	0	0	0	
'849933881528668160	VapingAve40		Thu Apr 06 10:36:43 +0000 2017	20	45	60	105406			0	 New Vaping Coil Master Coiling Kit V4 https://t.co/ekfht8gvS6 https://t.co/UJsN59ABim 	  	http://twitter.com/VapingAve40/status/1031693185829941248			'1031693185829941248	1	1	0	0	0	0	0	0	0	0	
'3137370087	Thomas_LMiles		Sun Apr 05 15:46:26 +0000 2015	1727	335	535	622			0	 Saw someone vaping going down 59 and I just don't think that's safe 	  	http://twitter.com/Thomas_LMiles/status/1039878105278636033			'1039878105278636033	1	0	0	0	0	0	0	1	0	0	
'4828430408	ArdnaxelaChacon		Fri Jan 29 02:31:19 +0000 2016	3140	119	111	1691			0	 I've lost so many juuls that I'm just never gonna buy one again :/ 	  	http://twitter.com/ArdnaxelaChacon/status/1039265830507360256			'1039265830507360256	1	0	0	0	0	0	1	0	0	0	
'951827796212424704	NavkiratMand		Fri Jan 12 14:46:45 +0000 2018	2	15	32	97517			0	 Vapers rise 'to more than three million' in Britain https://t.co/uIrGLMD41c 	  	http://twitter.com/NavkiratMand/status/1040392343076200449			'1040392343076200449	1	0	1	0	0	0	0	0	0	0	
'137498445	LexiBreanna		Mon Apr 26 23:00:20 +0000 2010	19065	365	319	21443			0	 Like 1000% sure i rolled my juul into a roll of silverware at work :) rip 	  	http://twitter.com/LexiBreanna/status/1033800677250789376			'1033800677250789376	1	0	0	0	0	0	1	0	0	0	
'1013662452913881088	PriyankaVarsan1		Mon Jul 02 05:55:36 +0000 2018	0	1	64	218			0	 Electronic e cig cigarette MINI 60W 1500mAh Shisha Pen Vape Box Mod Starter Kit _newline_ @Harry_Styles https://t.co/a6ilqaOdtM 	  	http://twitter.com/PriyankaVarsan1/status/1037303128465453056			'1037303128465453056	1	1	0	0	0	0	0	0	0	0	
'364697282	yunghungover		Tue Aug 30 05:22:50 +0000 2011	11943	343	327	2133			0	 u ever used ur juul as a flashlight? Yes nicotine addiction is handy 	  	http://twitter.com/yunghungover/status/1041251469515784192			'1041251469515784192	1	0	0	0	0	1.1	1	0	0	1	
'831182166	Mygrowspotger		Tue Sep 18 14:35:38 +0000 2012	513	3036	3301	108258			0	" Thanks ""Holy Language Tribe"" 4 the follow - DM us if UR in the vape biz! https://t.co/09L0D1u3q5 "	  	http://twitter.com/Mygrowspotger/status/1036513724687896577			'1036513724687896577	1	1	0	0	0	0	0	0	0	0	
'849933881528668160	VapingAve40		Thu Apr 06 10:36:43 +0000 2017	20	45	60	158763			0	 New Vaping IJOY AVENGER 270 234W with AVENGER Subohm TC Kit 6000MAH https://t.co/aL9ZymQtHr https://t.co/8S07LuU41E 	  	http://twitter.com/VapingAve40/status/1038674990751576064			'1038674990751576064	1	1	0	0	0	0	0	0	0	0	
'855749336512286720	ORMXND		Sat Apr 22 11:45:15 +0000 2017	303	60	129	970			0	 never thought i'd be vaping 24mg salt nic but shits good honestly 	  	http://twitter.com/ORMXND/status/1031559129788293122			'1031559129788293122	1	0	0	0	0	1	1	0	0	0	
'15600814	middleclassbuzz		Fri Jul 25 17:21:28 +0000 2008	6208	461	78	23000			0	 a bathing vape 	  	http://twitter.com/middleclassbuzz/status/1033522397666631680			'1033522397666631680	1	0	0	0	0	0	0	0	0	0	
'707721092362739713	thesporktree		Thu Mar 10 00:13:52 +0000 2016	12709	352	338	4093			0	 you named your juul Juulie ? _newline_ ha. _newline_ p a t h e t i c. _newline_ i named mine Juulius Caesar. 	  	http://twitter.com/thesporktree/status/1037523336623017984			'1037523336623017984	1	0	0	0	0	0	1	0	0	0	
'2302560180	vaporskull1		Tue Jan 21 05:38:50 +0000 2014	205	1050	70	1609			0	 2nd\u3044\u3088\u3044\u3088\u660e\u65e5\u767a\u58f2\u3067\u3059\uff01\uff01 _newline_ # vsc # vscmod # vscmodjapan # kiyomasa # 2nd # vape # vaper # vapers # tubemod # brass # 24mm # sideswich # vapelife # vapelyfe # vapestagram # vapepower # vapehack https://t.co/wxQNtDUV4R 	  	http://twitter.com/vaporskull1/status/1032458291983659008			'1032458291983659008	0	0	0	0	0	0	0	0	0	0	
'577261043	nursyifasarah		Fri May 11 16:12:59 +0000 2012	11355	1005	657	44274			0	 Ada lagi eh lelaki ceni sekarang? 	 Jangan tinggalkan lelaki yang: _newline_ 1.Tak merokok _newline_ 2.Tak vape _newline_ 3.Nk pergi mn pun bagitau awk dulu _newline_ 4.Tak pernah tinggal awk dalam kesedihan _newline_ 5.Layan perangai awk semasa awk period _newline_ 6.Tak layan perempuan yg terhegeh hegeh nak kt dia _newline_ APPRECIATE THIS TYPES OF MAN 	http://twitter.com/nursyifasarah/status/1036301216592982016			'1036301216592982016	0	0	0	0	0	0	0	0	0	0	
'2484873420	EcigVapingDeals		Fri May 09 05:04:02 +0000 2014	21630	6702	2826	11185			0	" RT VaptioOfficial How to Mix # EJuice -  The DIY # Vaping # Eliquid Bible: Everything you need to know to get started mixing >> https://t.co/EscSJxaFQV ""Where our fusion 2  - can you find ? What's the color? _newline_ Picture by doit_ecig _newline_  _newline_ PS.  _newline_ \U0001f4a5Vaptio Anniversary C... https://t.co/tNKjPoGvle"" "	  	http://twitter.com/EcigVapingDeals/status/1038431804523536385			'1038431804523536385	1	1	0	0	0	0	0	0	0	0	
